actively_hiring,Type_of_job,company_name,location,salary,experience,experience_enc
1.0,client relationship associate,ace my prep,delhi,₹  3 - 4 lpa,0-2 years,2
1.0,hr research associate,growth360,gurgaon,₹  2.5 - 4 lpa,0-2 years,2
1.0,junior industrial designer,technotreon intellectual ventures,pune,₹  4 - 6 lpa,0-5 years,4
1.0,customer success executive,clynq,delhi,₹  2 - 3 lpa,0-2 years,2
1.0,intellectual property analyst,technotreon intellectual ventures,pune,₹  3 - 5 lpa,0-5 years,4
1.0,marketing & branding analyst,technotreon intellectual ventures,pune,₹  3 - 5 lpa,0-5 years,4
1.0,it project manager,netgains,mohali,₹  3 - 4 lpa,0-2 years,2
1.0,talent acquisition specialist,paathshala spark,remote,₹  2 lpa,0-2 years,2
1.0,market development executive - f&b industry,clynq,ahmedabad,₹  2 - 3 lpa,0-2 years,2
1.0,executive - operations,travel and tape,navi mumbai,₹  2 - 2.4 lpa,0-2 years,2
1.0,sales executive,travel and tape,navi mumbai,₹  2 lpa,0-2 years,2
1.0,full stack developer,hammer & tongs,gurgaon,₹  2.4 - 3.6 lpa,0-2 years,2
,digital marketing executive,searchengineace,shimla,₹  2 - 2.5 lpa,0-2 years,2
1.0,student mentor - english,hikewise,remote,₹  2 - 2.5 lpa,0-2 years,2
1.0,subject matter expert - maths,wizklub learning,bangalore,₹  3 - 3.5 lpa,0-2 years,2
1.0,full stack developer,mithi software technologies private limited,pune,₹  3.4 - 3.5 lpa,0-2 years,2
1.0,technical operations executive,mithi software technologies private limited,pune,₹  3 lpa,0-2 years,2
1.0,digital marketing manager,reverr,delhi,₹  2 - 3 lpa,0-2 years,2
1.0,pre-sales associate,starfish growth partners llp,hyderabad,₹  2.16 - 2.64 lpa,0-2 years,2
1.0,executive assistant and human resources (hr) manager,precisito private limited,remote,₹  3 - 5 lpa,0-5 years,4
,assistant merchandiser,global home solutions,noida,₹  2 - 2.5 lpa,0-2 years,2
,associate content writer,the wellness shop,jaipur,₹  2 - 3 lpa,0-2 years,2
,assistant content writer,finace infosolution llp,mumbai,₹  2 - 4 lpa,0-2 years,2
,business development associate,posterity consulting,noida,₹  5.2 - 6 lpa,0-5 years,4
,marketing executive,vedansh group of hospitals,noida,₹  2 - 2.4 lpa,0-2 years,2
,academic counselor,american academy of financial management india private limited,delhi,₹  2.4 - 4.2 lpa,0-2 years,2
1.0,trainee - electronics engineer,intersense technologies llp,aurangabad,₹  2 - 2.2 lpa,0-2 years,2
,sales and marketing executive,mindxhorizon technologies,delhi,₹  4 - 5 lpa,0-5 years,4
,business development executive,eew learning solutions llp,delhi,₹  2.4 - 4 lpa,0-2 years,2
,business development associate,byju's the learning app,jaipur,₹  7.5 - 8.5 lpa,0-5 years,4
,content writer,kavishala labs,gurgaon,₹  2 - 2.4 lpa,0-2 years,2
,firmware/software developer,geotech systems and solutions (p) limited,noida,₹  2.2 - 4 lpa,0-2 years,2
1.0,omni sports leader - part time,decathlon,ghaziabad,₹  2 - 2.5 lpa,0-2 years,2
,field sales executive,career grabs,delhi,₹  2.5 - 3.5 lpa,0-2 years,2
,python developer,odisoft technology private limited,remote,₹  3.6 - 12 lpa,0-5 years,4
,junior media & public relations (pr) executive,dream n hustle media (dnh media),mumbai,₹  2 lpa,0-2 years,2
,sales associate,gem stone impex,delhi,₹  2.4 - 3 lpa,0-2 years,2
,operations manager - chess,chess gaja,madurai,₹  2.64 - 3.24 lpa,0-2 years,2
,graphic designer,craft,mumbai,₹  2 lpa,0-2 years,2
,lead generation manager,regalo kitchens private limited,delhi,₹  3 - 6 lpa,0-5 years,4
1.0,marketing executive,simplease,mumbai,₹  2.8 - 3.9 lpa,0-2 years,2
1.0,marketing executive,simplease,gurgaon,₹  2.8 - 3.9 lpa,0-2 years,2
1.0,graphic designer,amyra,chennai,₹  3.6 - 4.8 lpa,0-2 years,2
1.0,innovation & growth analyst,technotreon intellectual ventures,pune,₹  3.5 - 5 lpa,0-5 years,4
1.0,property manager,simplease,gurgaon,₹  3.6 - 6 lpa,0-5 years,4
1.0,senior business development executive,malin one applied technologies private limited (inceptionx),mumbai,₹  2.5 - 3.5 lpa,0-2 years,2
1.0,content creator,the hatke,delhi,₹  2.4 lpa,0-2 years,2
1.0,associate content writer,relinns technologies,chandigarh,₹  2 - 4 lpa,0-2 years,2
1.0,junior software developer,solution graph,pune,₹  3 - 7 lpa,0-5 years,4
1.0,business development executive,pinnacle software and services private limited,remote,₹  3 - 7 lpa,0-5 years,4
1.0,script writer,moretasks business solution limited,gurgaon,₹  2 - 3 lpa,0-2 years,2
1.0,store in-charge,akash blowers private limited,bahadurgarh,₹  2 - 2.4 lpa,0-2 years,2
1.0,game host,breakout,bangalore,₹  2 - 3 lpa,0-2 years,2
1.0,software developer,solution graph,hyderabad,₹  4 - 8 lpa,0-5 years,4
1.0,software developer,solution graph,bangalore,₹  4 - 8 lpa,0-5 years,4
1.0,operation executive,xoxotails,noida,₹  2.5 - 4.5 lpa,0-2 years,2
1.0,digital recruitment specialist,the rising consultancy,indore,₹  3 - 4 lpa,0-2 years,2
1.0,.net developer,wellness tech,ahmedabad,₹  3 - 7 lpa,0-5 years,4
1.0,business development executive,ifisys software and services private limited,delhi,₹  2 - 2.5 lpa,0-2 years,2
,business research executive,9colab ventures private limited,mumbai,₹  2 - 2.5 lpa,0-2 years,2
1.0,associate course coordinator,iide education private limited,mumbai,₹  2.4 - 3.6 lpa,0-2 years,2
,business development associate,byju's,bangalore,₹  5 - 8 lpa,0-5 years,4
1.0,data entry associate,valuetech solutions,mumbai,₹  2 - 2.5 lpa,0-2 years,2
1.0,business development associate,pregrad,noida,₹  3.5 - 5 lpa,0-5 years,4
1.0,business development executive,atraski,delhi,₹  2 - 2.5 lpa,0-2 years,2
1.0,social media marketing associate,xoxotails,noida,₹  2.5 - 3.5 lpa,0-2 years,2
1.0,project engineer,xoxotails,bangalore,₹  3 - 5 lpa,0-5 years,4
1.0,sales engineer,akash blowers private limited,bahadurgarh,₹  2 - 2.4 lpa,0-2 years,2
1.0,php developer,infraveo technologies private limited,ahmedabad,₹  2 - 2.1 lpa,0-2 years,2
1.0,executive - hr,xcel marketing,faridabad,₹  2 - 2.5 lpa,0-2 years,2
1.0,trainee - api integration engineer,mobileware technologies private limited,mumbai,₹  2.94 lpa,0-2 years,2
1.0,trainee: product specialist (product management),mobileware technologies private limited,mumbai,₹  2.94 lpa,0-2 years,2
1.0,executive assistant,akash blowers private limited,bahadurgarh,₹  2 - 2.4 lpa,0-2 years,2
1.0,junior cad designer,cartel engineers private limited,hyderabad,₹  2 lpa,0-2 years,2
,associate accountant,sui generis consulting private limited,agra,₹  3 - 5 lpa,0-5 years,4
,fun consultant,rainbow toys store,gurgaon,₹  2 - 4 lpa,0-2 years,2
,lead generation manager,regalo kitchens private limited,delhi,₹  3 - 6 lpa,0-5 years,4
,telecaller,nursed private limited,chandigarh,₹  2 - 2.2 lpa,0-2 years,2
,sales officer (mortar and pestle),hypersale sourcing private limited,remote,₹  2 - 2.5 lpa,0-2 years,2
,digital marketing associate,rgb designers,tiruppur,₹  2 - 3 lpa,0-2 years,2
,operations executive,bloomynest private limited,pune,₹  2.6 - 3 lpa,0-2 years,2
,store manager - menswear fashion,highbrow clothing private limited,bangalore,₹  2 - 2.4 lpa,0-2 years,2
1.0,graphic designer,espangle,gurgaon,₹  3 - 5 lpa,0-5 years,4
1.0,warehouse manager,wildship enterprises private limited,mumbai,₹  2 - 2.5 lpa,0-2 years,2
1.0,video editor,collegetips ed tech media private limited,delhi,₹  3 - 6 lpa,0-5 years,4
1.0,social media marketing manager,collegetips ed tech media private limited,delhi,₹  3 - 6 lpa,0-5 years,4
1.0,graphic designer,collegetips ed tech media private limited,delhi,₹  3 - 5 lpa,0-5 years,4
1.0,social media executive,the metrix digital,remote,₹  2.4 - 3 lpa,0-2 years,2
1.0,human resources (hr) manager,collegetips ed tech media private limited,indore,₹  2 - 5 lpa,0-5 years,4
1.0,media & public relations (pr) manager,collegetips ed tech media private limited,delhi,₹  3 - 6 lpa,0-5 years,4
1.0,customer relationship executive,xoxotails,noida,₹  3 - 5 lpa,0-5 years,4
1.0,college coordinator,iide education private limited,mumbai,₹  2.2 - 2.5 lpa,0-2 years,2
,office coordinator,one 2 one hr solution,noida,₹  2 - 2.5 lpa,0-2 years,2
1.0,accountant,xoxotails,noida,₹  2.5 - 3.5 lpa,0-2 years,2
1.0,front office executive,sanghvi beauty & technologies private limited (myglamm),delhi,₹  2.4 - 3 lpa,0-2 years,2
1.0,subject matter expert (science),wizklub learning,bangalore,₹  3 - 3.5 lpa,0-2 years,2
,junior market research associate,vichinth,delhi,₹  2 - 3 lpa,0-2 years,2
,senior video editor,film slate,remote,₹  2.4 - 3 lpa,0-2 years,2
,human resources (hr) specialist,employment clarity consulting,remote,₹  2 - 3 lpa,0-2 years,2
,research assistant,ninad`s research lab,thane,₹  3.6 - 4.8 lpa,0-2 years,2
,business development associate,byju's,chennai,₹  7 - 9 lpa,0-5 years,4
,junior flutter developer,skkillence,remote,₹  3 - 6 lpa,0-5 years,4
,digital marketing executive,gully2global,remote,₹  3 - 6 lpa,0-5 years,4
,senior supply chain manager (scm),shila art packaging,mumbai,₹  2.5 - 3.5 lpa,0-2 years,2
,associate web developer,urg marketing,mumbai,₹  2.2 - 3 lpa,0-2 years,2
,corporate sales associate,pup me up,delhi,₹  2.4 - 4.5 lpa,0-2 years,2
,graphic designer and video editor,rupiya finnovation private limited,ahmedabad,₹  2 - 2.5 lpa,0-2 years,2
,human resources (hr) associate,choice techlab solutions private limited,mumbai,₹  2.5 - 2.8 lpa,0-2 years,2
1.0,social media manager (motion graphics),material depot,bangalore,₹  3 - 5 lpa,0-5 years,4
1.0,architect,studio 5a architects,ludhiana,₹  2 - 2.1 lpa,0-2 years,2
,assistant director,studio gulmohar,mumbai,₹  2 lpa,0-2 years,2
,project management,coral knowledge services private limited,delhi,₹  2.5 - 3.5 lpa,0-2 years,2
,fashion merchandiser,shreya bansal,mumbai,₹  2 - 2.1 lpa,0-2 years,2
,client acquisition associate,bpe (brandland property expo),bangalore,₹  2.5 - 4 lpa,0-2 years,2
,trip planner,next trip,remote,₹  2 - 3 lpa,0-2 years,2
,lecturer - computer science,imperial college,bargarh,₹  2.5 - 4.8 lpa,0-2 years,2
,php developer,multiprong technologies,jaipur,₹  2 - 2.4 lpa,0-2 years,2
,fashion designer,chase lifestyle private limited,kolkata,₹  2.5 - 3.5 lpa,0-2 years,2
1.0,accountant,peppermint communications private limited,bhiwandi,₹  2 - 3 lpa,0-2 years,2
,business development associate,exaltica,remote,₹  4.5 - 6.5 lpa,0-5 years,4
1.0,performance marketing specialist,the bold marketers,noida,₹  2 - 4 lpa,0-2 years,2
1.0,flutter developer,taksh it solutions private limited,noida,₹  3 - 4.2 lpa,0-2 years,2
,screen writer,ssb media,gurgaon,₹  2.5 - 5 lpa,0-5 years,4
1.0,front desk manager,glossnglass,bangalore,₹  3 - 4.5 lpa,0-2 years,2
1.0,sales executive,high mountains,manali,₹  2 - 3 lpa,0-2 years,2
1.0,customer acquisition specialist,glam locks,delhi,₹  2 - 3.5 lpa,0-2 years,2
1.0,.net developer,himangini wellness private limited,pune,₹  5 - 6 lpa,0-5 years,4
,associate graphic designer,surface moto private limited,delhi,₹  3.2 - 4 lpa,0-2 years,2
1.0,marketing executive,zedex info private limited,mumbai,₹  2 lpa,0-2 years,2
1.0,junior social media marketing specialist,global eduversity,noida,₹  2 - 3.6 lpa,0-2 years,2
1.0,academic counselor,global eduversity,noida,₹  2 - 3.6 lpa,0-2 years,2
1.0,operations manager,grivaa consultancy services,delhi,₹  2 - 2.4 lpa,0-2 years,2
1.0,virtual assistant,global trend,remote,₹  2 lpa,0-2 years,2
1.0,backend developer,buddha education association incorporation,remote,₹  5 - 8 lpa,0-5 years,4
1.0,front end developer,buddha education association incorporation,remote,₹  4 - 8 lpa,0-5 years,4
1.0,full stack developer,buddha education association incorporation,remote,₹  5 - 10 lpa,0-5 years,4
1.0,sales and marketing executive,rchilli incorporation,mohali,₹  3 - 4 lpa,0-2 years,2
1.0,associate mechanical engineer,genelek technologies private limited,delhi,₹  2 - 5 lpa,0-5 years,4
1.0,junior social media marketing associate,genelek technologies private limited,delhi,₹  2 - 4 lpa,0-2 years,2
1.0,customer support executive,astrotalk,remote,₹  2 - 2.4 lpa,0-2 years,2
1.0,web developer,softsensor.ai,jaipur,₹  4 lpa,0-2 years,2
1.0,omni sport leader,decathlon sport india private limited,pune,₹  2.4 - 3 lpa,0-2 years,2
1.0,full stack developer,linsible technologies private limited,remote,₹  3 lpa,0-2 years,2
,mean stack developer,blackcoffer,remote,₹  4 - 6 lpa,0-5 years,4
,java developer,blackcoffer,remote,₹  4 - 6 lpa,0-5 years,4
,ios developer,blackcoffer,remote,₹  4 - 6 lpa,0-5 years,4
,application tester,blackcoffer,remote,₹  4 - 6 lpa,0-5 years,4
,mern stack developer,blackcoffer,remote,₹  4 - 6 lpa,0-5 years,4
,data engineer,blackcoffer,remote,₹  4 - 6 lpa,0-5 years,4
,marketing manager,blackcoffer,remote,₹  3 - 4 lpa,0-2 years,2
,android developer,blackcoffer,remote,₹  4 - 6 lpa,0-5 years,4
1.0,content writer,flymedia technology,ludhiana,₹  2 - 3 lpa,0-2 years,2
1.0,english trainer (verbal ability) - ahmedabad,jamboree education private limited,ahmedabad,₹  4 - 8 lpa,0-5 years,4
1.0,sales associate,disha skill training services,ulhasnagar,₹  2 lpa,0-2 years,2
1.0,business development executive - mtp,byju's the learning app,noida,₹  4 - 4.75 lpa,0-2 years,2
1.0,java spring boots developer,infoware,ahmedabad,₹  4.5 - 5 lpa,0-5 years,4
,corporate sales executive,practiceguru,remote,₹  2 lpa,0-2 years,2
,associate telecaller,virtus motors private limited,faridabad,₹  2 - 2.5 lpa,0-2 years,2
,content creator,alcove launchpad,mumbai,₹  2 lpa,0-2 years,2
,field sales manager,compere hr solutions,bangalore,₹  2.4 - 4 lpa,0-2 years,2
,specialist application support,peoplestrong,gurgaon,₹  2.7 - 2.85 lpa,0-2 years,2
,full stack developer,d3v technology solutions private limited,remote,₹  2.7 - 3 lpa,0-2 years,2
,accounts trainee,prem amar & company,delhi,₹  2.5 - 6.5 lpa,0-5 years,4
,accounting analyst (ca-inter),qualicentric llp,delhi,₹  2 - 3.5 lpa,0-2 years,2
,content writer,teachedison solutions private limited,coimbatore,₹  3 lpa,0-2 years,2
,tender executive,upper india sales agency,ahmedabad,₹  2.2 - 5.2 lpa,0-5 years,4
,accounts assistant,an kaul and associates,delhi,₹  2 - 3 lpa,0-2 years,2
,software developer,msoft web technologies,hyderabad,₹  2 - 3 lpa,0-2 years,2
,flutter developer,tetaverse private limited,vijayawada,₹  4.8 - 6 lpa,0-5 years,4
,graphic designer,center for business and technology,jaipur,₹  2 - 3 lpa,0-2 years,2
1.0,human resources (hr) executive,requin solutions private limited,jaipur,₹  2 - 2.4 lpa,0-2 years,2
,business development manager,fountainhead international b v,noida,₹  2 - 5 lpa,0-5 years,4
,customer care executive trainer,nav bharat nirman foundation,agartala,₹  2 - 2.23 lpa,0-2 years,2
,business development executive,prwatech,bangalore,₹  2 - 2.4 lpa,0-2 years,2
,subject matter expert (chemistry),techphoton solutions private limited,remote,₹  2 - 4 lpa,0-2 years,2
,food & beverages service associate trainer,nav bharat nirman foundation,agartala,₹  2 - 2.4 lpa,0-2 years,2
,executive assistant,acrannolife genomics,chennai,₹  3 - 4 lpa,0-2 years,2
,inside sales executive,vedantu innovations private limited,bangalore,₹  3.5 - 5 lpa,0-5 years,4
,corporate sales specialist,byju's the learning app,remote,₹  7 - 8.5 lpa,0-5 years,4
,sales executive,upgrad (upgrad education private limited),gurgaon,₹  3 - 5 lpa,0-5 years,4
,design assistant,loi,mumbai,₹  2 lpa,0-2 years,2
1.0,business development associate,byju's the learning app,agra,₹  4 - 5 lpa,0-5 years,4
1.0,business development associate,byju's the learning app,gurgaon,₹  4 - 5 lpa,0-5 years,4
1.0,business development associate,byju's the learning app,delhi,₹  4 - 5 lpa,0-5 years,4
1.0,business development associate,byju's the learning app,faridabad,₹  4 - 5 lpa,0-5 years,4
1.0,business development associate,byju's the learning app,greater noida,₹  4 - 5 lpa,0-5 years,4
1.0,business development associate,byju's the learning app,noida,₹  4 - 5 lpa,0-5 years,4
,sales engineer,terrapaxx india marketing llp,thrissur,₹  2.4 - 3 lpa,0-2 years,2
,business development executive,moople academy private limited,kolkata,₹  3 lpa,0-2 years,2
1.0,embedded systems associate,genelek technologies private limited,delhi,₹  3 - 6 lpa,0-5 years,4
,executive sales & marketing,green opulence factor private limited,chennai,₹  2 - 2.5 lpa,0-2 years,2
,junior operations associate,gpn properties,chennai,₹  2 - 3 lpa,0-2 years,2
,front end developer,metricoid technology solutions private limited,thane,₹  2 - 2.5 lpa,0-2 years,2
,flutter mobile app developer,tyreplex technologies and commerce private limited,gurgaon,₹  4 - 8 lpa,0-5 years,4
,human resources (hr) executive,a-1 fence products company private limited,valsad,₹  2 - 3.5 lpa,0-2 years,2
,junior social media marketing manager,dignexus,kolkata,₹  2 lpa,0-2 years,2
1.0,junior lead generation executive,helloworld technologies india private limited,bangalore,₹  2.6 - 3 lpa,0-2 years,2
1.0,senior mobile app developer,mrdots solutions (opc) private limited,remote,₹  4 - 6 lpa,0-5 years,4
,react native developer,blackcoffer,remote,₹  4 - 6 lpa,0-5 years,4
,content marketing,blackcoffer,remote,₹  3 - 4 lpa,0-2 years,2
1.0,inside sales associate,uniacco,delhi,₹  3 - 5 lpa,0-5 years,4
1.0,digital marketing executive,hainey global private limited,delhi,₹  2 - 4 lpa,0-2 years,2
1.0,field sales executive,swiftpro3d,chennai,₹  2.4 lpa,0-2 years,2
1.0,business development executive,qui vive consulting services private limited,pune,₹  3 lpa,0-2 years,2
1.0,pre sales executive,cultfit healthcare private limited,hyderabad,₹  2 - 3 lpa,0-2 years,2
1.0,business development executive,tring,mumbai,₹  2.5 - 3.5 lpa,0-2 years,2
1.0,junior associate (program coordinator),iide education private limited,mumbai,₹  2.4 - 3 lpa,0-2 years,2
1.0,node.js developer,infoware,ahmedabad,₹  4.5 - 5 lpa,0-5 years,4
1.0,energy consultant (data analyst),rti international,delhi,₹  5 - 6 lpa,0-5 years,4
,junior ui/ux designer,enveu,noida,₹  2 - 3 lpa,0-2 years,2
1.0,junior video editor,tring,mumbai,₹  2 - 3 lpa,0-2 years,2
1.0,flutter developer,infoware,ahmedabad,₹  4.5 - 5 lpa,0-5 years,4
1.0,ui/ux designer,elecbits technologies private limited,gurgaon,₹  4 - 7 lpa,0-5 years,4
1.0,marketing automation and analysis engineer,redwood algorithms,remote,₹  2 - 4.8 lpa,0-2 years,2
1.0,digital marketing executive,adstacks media,gurgaon,₹  2 - 2.4 lpa,0-2 years,2
,business development executive,witarist it services private limited,noida,₹  2 - 3 lpa,0-2 years,2
1.0,digital marketing specialist,360customizer (namrup fashion private limited),pune,₹  2 - 3 lpa,0-2 years,2
1.0,digital marketing executive,theother 2 thirds consulting llp,mumbai,₹  3 - 3.5 lpa,0-2 years,2
,junior social media marketing associate,59th parallel,mumbai,₹  2 - 2.5 lpa,0-2 years,2
1.0,financial analyst,vm international,remote,₹  2.5 - 3.5 lpa,0-2 years,2
1.0,video editor,your digital lift,mumbai,₹  2.4 - 3 lpa,0-2 years,2
1.0,associate telecaller,the response company,gurgaon,₹  2.5 - 3 lpa,0-2 years,2
1.0,business development executive,zigsaw consultancy,gurgaon,₹  5.2 - 6.5 lpa,0-5 years,4
1.0,business development manager,fusion beauty,delhi,₹  3 - 6 lpa,0-5 years,4
,field sales executive,m4s marketing company,remote,₹  2.5 - 4 lpa,0-2 years,2
1.0,client relationship manager,fusion beauty,delhi,₹  3 - 6 lpa,0-5 years,4
1.0,marketing manager,zigsaw consultancy,panipat,₹  2 - 3 lpa,0-2 years,2
1.0,junior social media marketing associate,elecbits technologies private limited,gurgaon,₹  2 - 4 lpa,0-2 years,2
1.0,academic content writer,requin solutions private limited,jaipur,₹  2 - 2.1 lpa,0-2 years,2
1.0,cold call sales executive (to usa ceo),persist ventures,remote,₹  3 - 7 lpa,0-5 years,4
1.0,sms marketing trainee,persist ventures,remote,₹  3 - 4 lpa,0-2 years,2
1.0,content operations,moretasks business solution limited,gurgaon,₹  2.4 - 2.8 lpa,0-2 years,2
1.0,video editor,eazygrad,delhi,₹  2 - 2.4 lpa,0-2 years,2
1.0,content writer,analystt.ai,remote,₹  2.5 - 3 lpa,0-2 years,2
,inside sales executive,ufaber edutech,mumbai,₹  3 - 5 lpa,0-5 years,4
,corporate sales executive,trivy technologies private limited,noida,₹  2 - 2.4 lpa,0-2 years,2
,education counselor,ufaber edutech,mumbai,₹  3 - 5 lpa,0-5 years,4
1.0,content writer (youtube),internshala,gurgaon,₹  4 lpa,0-2 years,2
,business development trainee,redjinni industries private limited,surat,₹  2 - 2.4 lpa,0-2 years,2
,junior search engine optimization (seo) associate,arechar healthcare,delhi,₹  2 - 2.2 lpa,0-2 years,2
,lead- community development,socio economic emerging development (seed) council,pune,₹  3 - 4 lpa,0-2 years,2
,software developer,true elements,pune,₹  3 - 5.5 lpa,0-5 years,4
,junior social media marketing associate,terra food company,ahmedabad,₹  3 - 5 lpa,0-5 years,4
1.0,video editor,team car delight,remote,₹  2 - 3 lpa,0-2 years,2
1.0,human resources (hr) executive,shubh international,remote,₹  8 - 9 lpa,0-5 years,4
1.0,digital marketing executive,shubh international,remote,₹  8 - 8.5 lpa,0-5 years,4
1.0,android app developer,shubh international,remote,₹  7 - 8 lpa,0-5 years,4
1.0,business development executive,shubh international,remote,₹  7 - 8 lpa,0-5 years,4
1.0,junior operations associate,shubh international,remote,₹  6 - 8 lpa,0-5 years,4
1.0,senior backend developer,shubh international,remote,₹  8 - 10 lpa,0-5 years,4
1.0,front end developer,shubh international,remote,₹  8 - 10 lpa,0-5 years,4
,digital marketing executive,go pro infotech private limited,indore,₹  2 - 2.4 lpa,0-2 years,2
,procurement executive,kazam ev tech,bangalore,₹  2 - 2.2 lpa,0-2 years,2
,accountant,ekostay,mumbai,₹  2 - 2.2 lpa,0-2 years,2
1.0,fashion sales assistant,limerick by abirr n' nanki,gurgaon,₹  2 - 3 lpa,0-2 years,2
,business development executive,zucol solutions private limited,jaipur,₹  2 - 2.5 lpa,0-2 years,2
1.0,business development associate,the bold marketers,noida,₹  2.4 - 4.8 lpa,0-2 years,2
1.0,landing page expert,eazygrad,delhi,₹  2 - 2.4 lpa,0-2 years,2
1.0,junior animator,codetta digital by niraakaar ventures,vadodara,₹  2 - 3 lpa,0-2 years,2
1.0,project manager,nextedge labs,remote,₹  2 - 3 lpa,0-2 years,2
1.0,mechanical engineer,dutt engicon,mehsana,₹  2.4 lpa,0-2 years,2
1.0,human resources (hr) associate,elecbits technologies private limited,gurgaon,₹  2 - 4 lpa,0-2 years,2
1.0,associate content writer,avanzar health,remote,₹  2.4 - 3 lpa,0-2 years,2
1.0,business development executive,cloudbird digital private limited,remote,₹  3 lpa,0-2 years,2
1.0,email marketing trainee,persist ventures,remote,₹  3 - 3.5 lpa,0-2 years,2
1.0,business development executive,talentxo,remote,₹  3.5 lpa,0-2 years,2
1.0,business development executive,nrich learning,chandigarh,₹  3 lpa,0-2 years,2
,fashion designer,peachmode,surat,₹  3 - 4 lpa,0-2 years,2
1.0,associate graphic designer,neubright partners private limited,mumbai,₹  2 - 2.4 lpa,0-2 years,2
1.0,instagram reels creator,gurubhai equipments,ahmedabad,₹  2 - 3 lpa,0-2 years,2
1.0,sales operations executive,monkey adventures,remote,₹  2.64 - 3.6 lpa,0-2 years,2
,tele sales representative,despac global private limited,bangalore,₹  3.5 - 4.5 lpa,0-2 years,2
1.0,project coordinator,mindworks global media services private limited,remote,₹  2 - 3 lpa,0-2 years,2
,associate telecaller,ufaber edutech,remote,₹  2.9 - 3 lpa,0-2 years,2
1.0,corporate sales associate,bharti airtel limited,mumbai,₹  4 - 5 lpa,0-5 years,4
1.0,customer support associate,indent logistics solutions private limited,kolkata,₹  2 - 2.2 lpa,0-2 years,2
1.0,pre sales representative,material depot,bangalore,₹  4 - 6 lpa,0-5 years,4
1.0,customer service executive,indent logistics solutions private limited,noida,₹  2.4 - 2.8 lpa,0-2 years,2
,software engineer trainee,streamforce solutions,remote,₹  2 - 3 lpa,0-2 years,2
,customer service executive,skillzway eduhub private limited,kakkanad,₹  2 - 2.1 lpa,0-2 years,2
,associate telecaller,asquarian consultants private limited (capital need),delhi,₹  3 - 6.5 lpa,0-5 years,4
1.0,researcher,namekart,mumbai,₹  4 - 6 lpa,0-5 years,4
,angular.js developer,blackcoffer,remote,₹  4 - 6 lpa,0-5 years,4
,php full stack developer,blackcoffer,remote,₹  4 - 6 lpa,0-5 years,4
,ui/ux designer,blackcoffer,remote,₹  4 - 6 lpa,0-5 years,4
,business development manager,blackcoffer,remote,₹  4 - 6 lpa,0-5 years,4
,python full stack developer,blackcoffer,remote,₹  4 - 6 lpa,0-5 years,4
1.0,space content writer,feardog music,remote,₹  2 lpa,0-2 years,2
1.0,business development associate,testpress tech labs llp,chennai,₹  2 - 3.5 lpa,0-2 years,2
1.0,business development executive,testpress tech labs llp,chennai,₹  2.5 - 3.5 lpa,0-2 years,2
1.0,digital marketing specialist,reverr,delhi,₹  2 - 3 lpa,0-2 years,2
1.0,junior operations executive,reverr,delhi,₹  2 - 2.5 lpa,0-2 years,2
1.0,senior telecaller,nirogstreet,delhi,₹  2 - 3.2 lpa,0-2 years,2
1.0,marketing associate,nirogstreet,delhi,₹  2 - 3.5 lpa,0-2 years,2
1.0,php developer,zigsaw consultancy,indore,₹  2 - 3 lpa,0-2 years,2
1.0,junior lead generation executive,theother 2 thirds consulting llp,mumbai,₹  3 - 3.5 lpa,0-2 years,2
1.0,inside sales trainee,zigsaw consultancy,noida,₹  2 - 3 lpa,0-2 years,2
1.0,junior academic content developer,iide education private limited,mumbai,₹  2 - 2.4 lpa,0-2 years,2
1.0,business development associate,nirogstreet,delhi,₹  2 - 3.2 lpa,0-2 years,2
1.0,business development executive,indent logistics solutions private limited,mumbai,₹  2 - 3 lpa,0-2 years,2
1.0,customer service executive,indent logistics solutions private limited,bangalore,₹  2 - 2.5 lpa,0-2 years,2
1.0,sales trainer,nirogstreet,delhi,₹  3 - 5 lpa,0-5 years,4
1.0,senior interior designer,mayur shah & associates,vadodara,₹  2 - 2.5 lpa,0-2 years,2
1.0,operations associate,sharepal,bangalore,₹  3 - 4 lpa,0-2 years,2
,gym trainer,cult.fit,gurgaon,₹  3 - 4 lpa,0-2 years,2
,customer success associate,upgrad (upgrad education private limited),bangalore,₹  3 - 3.5 lpa,0-2 years,2
,junior social media marketing specialist,zia judicials,delhi,₹  2 - 2.2 lpa,0-2 years,2
,associate graphic designer,the upside story,jaipur,₹  3 - 5 lpa,0-5 years,4
1.0,content writer,binary numbers,mumbai,₹  2 - 3.6 lpa,0-2 years,2
,pr executive,mulsan information technology private limited,pune,₹  2.4 - 3.5 lpa,0-2 years,2
1.0,junior wordpress developer,snd digital retails llp (staranddaisy),ghaziabad,₹  2.3 - 2.5 lpa,0-2 years,2
1.0,content strategist,content-whale,navi mumbai,₹  3 - 4 lpa,0-2 years,2
,business development executive,scholastic council for academic excellence,mumbai,₹  3 - 3.6 lpa,0-2 years,2
,inside sales executive,peel-works private limited,hyderabad,₹  2.5 - 5 lpa,0-5 years,4
,junior software developer,teeoff technologies private limited,gurgaon,₹  3 - 7 lpa,0-5 years,4
,interior designer,sanah infra projects private limited,chennai,₹  2 - 2.5 lpa,0-2 years,2
1.0,react developer,analystt.ai,remote,₹  2.4 - 3 lpa,0-2 years,2
