actively_hiring,Type_of_job,company_name,location,salary,experience,experience_enc
,interior designer,square yards,gurgaon,₹  2 lpa,0-2 years,2
,business development manager,eternalflowers,thiruvananthapuram,₹  2.5 - 3.6 lpa,0-2 years,2
,python (ai/ml) engineer,hops healthcare,ahmedabad,₹  2 - 4 lpa,0-2 years,2
,junior software tester,quantumlink communications private limited,pune,₹  2 - 2.2 lpa,0-2 years,2
,technical content writer,fornax,mumbai,₹  3.5 - 4 lpa,0-2 years,2
,junior software developer,nirvi tech,nagpur,₹  2 - 6 lpa,0-5 years,4
,data entry executive,parker overseas private limited,ghaziabad,₹  2 - 2.5 lpa,0-2 years,2
,video editor,digital series,chandigarh,₹  2 - 2.2 lpa,0-2 years,2
,business development executive (bde) trainee / sales executive - it industry,appsrow,ahmedabad,₹  2 - 3 lpa,0-2 years,2
,video anchor,bharti media & events,delhi,₹  3 - 4 lpa,0-2 years,2
,business development executive,rsk travel consultants private limited,delhi,₹  2.76 - 4.8 lpa,0-2 years,2
,software developer,vardhan software solutions private limited,pune,₹  2.7 - 3 lpa,0-2 years,2
,digital marketing executive,invest4edu private limited,remote,₹  2 - 2.8 lpa,0-2 years,2
,social media influencer,zuvomo private limited,delhi,₹  2 lpa,0-2 years,2
,associate business analyst,akrity computing,bangalore,₹  3.6 - 4.2 lpa,0-2 years,2
,business development associate,alphaabets digital labs private limited,bangalore,₹  2.4 - 3.6 lpa,0-2 years,2
,3d artist,srishti technet private limited,remote,₹  4.8 lpa,0-2 years,2
,administration executive,amrg & assoiates,delhi,₹  2 - 2.4 lpa,0-2 years,2
,sales executive,endlos technologies private limited,ahmedabad,₹  2 - 2.4 lpa,0-2 years,2
1.0,junior operations executive (celebrity platform),tring,mumbai,₹  2 - 3 lpa,0-2 years,2
,customer support executive,vakil desk,delhi,₹  2 - 2.5 lpa,0-2 years,2
,junior product manager,neo91 (dsbl private limited),bangalore,₹  6 - 8 lpa,0-5 years,4
,junior fashion designer,nimisha singh,delhi,₹  2 - 2.4 lpa,0-2 years,2
,telecom design engineer,finulent solutions llp,noida,₹  2 - 2.3 lpa,0-2 years,2
,associate software tester,stelo technology private limited,pune,₹  2 - 2.4 lpa,0-2 years,2
,junior social media marketing executive,siya sadarangani,mumbai,₹  3 - 3.5 lpa,0-2 years,2
,sales and marketing associate,accuracy business services private limited,delhi,₹  2 - 2.5 lpa,0-2 years,2
,business development manager,candid solutions,mumbai,₹  3 - 3.5 lpa,0-2 years,2
,telecaller,yess - your everyday super store,delhi,₹  2.5 lpa,0-2 years,2
,business development associate,pylon management consulting,remote,₹  2 - 2.8 lpa,0-2 years,2
,junior .net developer,dupat infotronicx private limited,ahmedabad,₹  2 - 2.2 lpa,0-2 years,2
,retail sales assistant,brands alexa private limited,hyderabad,₹  2 - 3 lpa,0-2 years,2
,junior product designer,bombay atelier,remote,₹  6 lpa,0-5 years,4
,digital marketing executive,add pearlinfo private limited,ahmedabad,₹  2 - 2.4 lpa,0-2 years,2
1.0,customer support executive (chat process),astrotalk,remote,₹  2 - 2.4 lpa,0-2 years,2
,data entry associate,eminenture private limited,delhi,₹  2 - 2.5 lpa,0-2 years,2
,front desk executive,smartnet software private limited,pune,₹  2 - 3 lpa,0-2 years,2
,business development executive,flippr media,bangalore,₹  2.8 - 3.5 lpa,0-2 years,2
,business development manager,ladders up hr solutions llp,noida,₹  2 - 2.25 lpa,0-2 years,2
,assistant manager - debt syndication,express rupya,mumbai,₹  3 - 3.1 lpa,0-2 years,2
,lead generation executive,cyntralabs private limited,noida,₹  4.5 lpa,0-2 years,2
,tele sales executive,paisabazaar,chennai,₹  2 - 2.7 lpa,0-2 years,2
,salon manager,love.hair,mumbai,₹  2 - 3 lpa,0-2 years,2
1.0,corporate sales specialist,psam organic,remote,₹  2.5 - 3.5 lpa,0-2 years,2
,graphic designer,dhriti fashion,delhi,₹  2.5 - 5 lpa,0-5 years,4
,junior search engine optimization (seo) executive,jpp technology services llc,ahmedabad,₹  2 - 2.4 lpa,0-2 years,2
,digital marketing associate,cryptographic solutions,tiruchirappalli,₹  2.4 - 2.5 lpa,0-2 years,2
,business development associate,capitalcorn,bangalore,₹  2.5 lpa,0-2 years,2
,interior designer,the line studio,bangalore,₹  5.2 - 6.5 lpa,0-5 years,4
,junior media & public relations (pr) associate,grasshoppers india private limited,delhi,₹  2.4 - 3 lpa,0-2 years,2
1.0,client service executive (web),zigsaw consultancy,mumbai,₹  3 - 3.6 lpa,0-2 years,2
1.0,digital marketing analyst,at quest sustainability services,remote,₹  3 lpa,0-2 years,2
1.0,web development,studymonk,chennai,₹  4 - 6 lpa,0-5 years,4
